Model,Brand,Product Category,Description,Dealer Ex GST, RRP Inc. GST 
Z5029.000,d&b audiotechnik,Brackets/Rigging,TV spigot M10,102.26,168
Z5029.000,d&b audiotechnik,Brackets/Rigging,TV spigot M10,102.26,168
Z5029.000,d&b audiotechnik,Brackets/Rigging,TV spigot M10,102.26,168
Z5034.000,d&b audiotechnik,Brackets/Rigging,Stand adapter M10,104.7,172
Z5034.000,d&b audiotechnik,Brackets/Rigging,Stand adapter M10,104.7,172
Z5038.000,d&b audiotechnik,Brackets/Rigging,AOR Fixing plate M10 black,98.61,162
Z5044.000,d&b audiotechnik,Brackets/Rigging,MAX Bracket connector,273.91,450
Z5047.000,d&b audiotechnik,Brackets/Rigging,AOR MAX12/M6 Horizontal bracket,305.57,502
Z5048.001,d&b audiotechnik,Brackets/Rigging,AOR Flying pin 10mm,305.57,502
Z5049.000,d&b audiotechnik,Brackets/Rigging,AOR Y7P/Y10P Flying pin 8mm,290.96,478
Z5056.000,d&b audiotechnik,Brackets/Rigging,AOR M4 Flying bracket,788.26,"1,295.00"
Z5057.000,d&b audiotechnik,Brackets/Rigging,AOR M6 Flying bracket,872.26,"1,433.00"
Z5147.001,d&b audiotechnik,Brackets/Rigging,d&b Rota clamp,1705.57,"2,802.00"
Z5147.001,d&b audiotechnik,Brackets/Rigging,d&b Rota clamp,1705.57,"2,802.00"
Z5147.001,d&b audiotechnik,Brackets/Rigging,d&b Rota clamp,1705.57,"2,802.00"
Z5147.001,d&b audiotechnik,Brackets/Rigging,d&b Rota clamp,1705.57,"2,802.00"
Z5147.001,d&b audiotechnik,Brackets/Rigging,d&b Rota clamp,1705.57,"2,802.00"
Z5155.000,d&b audiotechnik,Brackets/Rigging,AOR Hoist connector chain,710.96,"1,168.00"
Z5333.000,d&b audiotechnik,Roadcases -  Carts,AOR Rack link 2m,581.91,956
Z5338.000,d&b audiotechnik,Roadcases -  Carts,"AOR D20/D80 rack I/O Panel, 1RU",2579.04,"4,237.00"
Z5339.000,d&b audiotechnik,Roadcases -  Carts,AOR Multichannel extension cable,521.04,856
Z5350.000,d&b audiotechnik,Brackets/Rigging,"E8 Flying bracket, black",551.48,906
Z5351.000,d&b audiotechnik,Brackets/Rigging,"E8 Horizontal bracket, black",302.52,497
Z5352.000,d&b audiotechnik,Brackets/Rigging,"AOR E12 Flying bracket, black",603.22,991
Z5353.000,d&b audiotechnik,Brackets/Rigging,"E12 Horizontal bracket, black",489.39,804
Z5354.000,d&b audiotechnik,Brackets/Rigging,"E8/E12 Flying adapter, black",354.26,582
Z5354.000,d&b audiotechnik,Brackets/Rigging,E8/E12 Flying adapter,354.26,582
Z5355.000,d&b audiotechnik,Brackets/Rigging,E8/E12 Flying adapter link,270.87,445
Z5355.000,d&b audiotechnik,Brackets/Rigging,E8/E12 Flying adapter link,270.87,445
Z5357.000,d&b audiotechnik,Brackets/Rigging,"E4/E5 Ball joint adapter, black",250.17,411
Z5370.000,d&b audiotechnik,Brackets/Rigging,T Flying frame,2912.61,"4,785.00"
Z5371.000,d&b audiotechnik,Brackets/Rigging,T Flying bracket,494.87,813
Z5372.000,d&b audiotechnik,Brackets/Rigging,T Horizontal bracket,268.43,441
Z5373.000,d&b audiotechnik,Brackets/Rigging,T Cluster bracket,494.87,813
Z5374.000,d&b audiotechnik,Brackets/Rigging,AOR Ti Flying bar,1060.35,"1,742.00"
Z5375.000,d&b audiotechnik,Brackets/Rigging,AOR T Base plate,598.35,983
Z5377.000,d&b audiotechnik,Brackets/Rigging,"AOR E6 Swivel bracket, black",250.17,411
Z5378.000,d&b audiotechnik,Brackets/Rigging,"AOR E6 Horizontal bracket, black",169.22,278
Z5380.000,d&b audiotechnik,Brackets/Rigging,V Flying frame,7084,"11,638.00"
Z5383.000,d&b audiotechnik,Brackets/Rigging,VP Mounting bracket,1280.7,"2,104.00"
Z5384.000,d&b audiotechnik,Brackets/Rigging,VP Flying adapter,615.39,"1,011.00"
Z5385.000,d&b audiotechnik,Brackets/Rigging,"V Flying adapter, for a maximum of four V8/V12 loudspeakers, supplied with a 1t shackle",1552.17,"2,550.00"
Z5386.000,d&b audiotechnik,Brackets/Rigging,V Stack adapter,484.52,796
Z5387.000,d&b audiotechnik,Brackets/Rigging,AOR Vi Mounting frame top,1340.96,"2,203.00"
Z5387.000,d&b audiotechnik,Brackets/Rigging,AOR Vi Mounting frame top,1340.96,"2,203.00"
Z5387.001,d&b audiotechnik,Brackets/Rigging,AOR Vi Mounting frame bottom,1793.83,"2,947.00"
Z5388.000,d&b audiotechnik,Brackets/Rigging,VP Horizontal bracket,646.43,"1,062.00"
Z5389.000,d&b audiotechnik,Brackets/Rigging,AOR Bi6-SUB horizontal bracket,430.35,707
Z5390.000,d&b audiotechnik,Brackets/Rigging,Y Flying frame,6649.39,"10,924.00"
Z5393.000,d&b audiotechnik,Brackets/Rigging,"Y mounting frame top, for a maximum load equivalent to six Yi8/Yi12 loudspeakers",1250.87,"2,055.00"
Z5393.001,d&b audiotechnik,Brackets/Rigging,Y mounting frame bottom,1250.87,"2,055.00"
Z5394.000,d&b audiotechnik,Brackets/Rigging,"Y flying adapter, for a maximum load of six Y8/Y12 loudspeakers",1490.7,"2,449.00"
Z5396.000,d&b audiotechnik,Brackets/Rigging,Y base plate,950.78,"1,562.00"
Z5397.001,d&b audiotechnik,Brackets/Rigging,YP swivel bracket,690.87,"1,135.00"
Z5398.000,d&b audiotechnik,Brackets/Rigging,YP horizontal bracket,491.22,807
Z5399.000,d&b audiotechnik,Brackets/Rigging,YP mounting bracket,800.43,"1,315.00"
Z5402.000,d&b audiotechnik,Brackets/Rigging,"Wall mount M, omni swivel style bracket to suit 8S, 10S and 12S loudspeakers, black",598.35,983
Z5402.001,d&b audiotechnik,Brackets/Rigging,"Wall mount M, omni swivel style bracket to suit 8S, 10S and 12S loudspeakers, white",598.35,983
Z5403.000,d&b audiotechnik,Brackets/Rigging,"AOR Wall mount L, longer arm version omni swivel style bracket to suit 8S, 10S and 12S loudspeakers, black",556.35,914
Z5403.001,d&b audiotechnik,Brackets/Rigging,"AOR Wall mount L, longer arm version omni swivel style bracket to suit 8S, 10S and 12S loudspeakers, white",556.35,914
Z5404.000,d&b audiotechnik,Brackets/Rigging,"Flying bracket 8S, vertical flying bracket for 1 x 8S loudspeaker, black",410.26,674
Z5404.001,d&b audiotechnik,Brackets/Rigging,"Flying bracket 8S, vertical flying bracket for 1 x 8S loudspeaker, white",410.26,674
Z5405.000,d&b audiotechnik,Brackets/Rigging,"AOR Flying bracket 10S, vertical flying bracket for 1 x 10S loudspeaker, black",472.35,776
Z5406.000,d&b audiotechnik,Brackets/Rigging,"AOR Flying bracket 12S, vertical flying bracket for 1 x 12S loudspeaker, black",535.65,880
Z5408.000,d&b audiotechnik,Brackets/Rigging,"Horizontal bracket 8S, C or U style bracket, black",189.91,312
Z5408.001,d&b audiotechnik,Brackets/Rigging,"Horizontal bracket 8S, C or U style bracket, white",189.91,312
Z5409.000,d&b audiotechnik,Brackets/Rigging,"Horizontal bracket 10S, C or U style bracket, black",369.48,607
Z5410.000,d&b audiotechnik,Brackets/Rigging,"AOR Horizontal bracket 18S/27S, C or U style bracket, black",399.3,656
Z5411.000,d&b audiotechnik,Brackets/Rigging,"AOR Horizontal bracket 12S, C or U style bracket, black",399.3,656
Z5412.000,d&b audiotechnik,Brackets/Rigging,"AOR Horizontal bracket 12S-SUB, C or U style bracket, black",399.3,656
Z5412.000,d&b audiotechnik,Brackets/Rigging,"AOR Horizontal bracket 12S-SUB, C or U style bracket, black",399.3,656
Z5412.001,d&b audiotechnik,Brackets/Rigging,"AOR Horizontal bracket 12S-SUB, C or U style bracket, white",399.3,656
Z5412.001,d&b audiotechnik,Brackets/Rigging,"AOR Horizontal bracket 12S-SUB, C or U style bracket, white",399.3,656
Z5412.901,d&b audiotechnik,Brackets/Rigging,"AOR Horizontal bracket 12S-SUB, C or U style bracket, special colour variant",566.7,931
Z5422.000,d&b audiotechnik,Brackets/Rigging,"Wall mount S, omni swivel style bracket to suit 4S and 5S loudspeakers, black",378,621
Z5422.001,d&b audiotechnik,Brackets/Rigging,"Wall mount S, omni swivel style bracket to suit 4S and 5S loudspeakers, white",378,621
Z5423.000,d&b audiotechnik,Brackets/Rigging,"44S mounting bracket, black",252,414
Z5423.001,d&b audiotechnik,Brackets/Rigging,"44S mounting bracket, white",252,414
Z5424.000,d&b audiotechnik,Brackets/Rigging,"44S L-mount bracket, black",177.74,292
Z5424.001,d&b audiotechnik,Brackets/Rigging,"44S L-mount bracket, white",177.74,292
Z5425.000,d&b audiotechnik,Brackets/Rigging,"44S cluster bracket, black",74.87,123
Z5425.001,d&b audiotechnik,Brackets/Rigging,"44S cluster bracket, white",108.35,178
Z5426.000,d&b audiotechnik,Brackets/Rigging,"44S swivel bracket, black",318.96,524
Z5426.001,d&b audiotechnik,Brackets/Rigging,"44S swivel bracket, white",318.96,524
Z5427.000,d&b audiotechnik,Brackets/Rigging,"44S backbox, black",295.22,485
Z5428.000,d&b audiotechnik,Brackets/Rigging,"44S backbox front grille, black",169.22,278
Z5428.001,d&b audiotechnik,Brackets/Rigging,"44S backbox front grille, white",169.22,278
Z5429.000,d&b audiotechnik,Brackets/Rigging,42S Backbox,178.35,293
Z5430.000,d&b audiotechnik,Brackets/Rigging,42S Backbox grill,90.09,148
Z5430.001,d&b audiotechnik,Brackets/Rigging,"42S Backbox grill, white",90.09,148
Z5431.000,d&b audiotechnik,Brackets/Rigging,42S/44S Horizontal bracket,130.26,214
Z5431.001,d&b audiotechnik,Brackets/Rigging,42S/44S Horizontal bracket white,130.26,214
Z5432.000,d&b audiotechnik,Brackets/Rigging,42S/44S Ball joint adapter,239.22,393
Z5432.001,d&b audiotechnik,Brackets/Rigging,42S/44S Ball joint adapter white,239.22,393
Z5433.000,d&b audiotechnik,Brackets/Rigging,42S Swivel bracket,239.22,393
Z5433.001,d&b audiotechnik,Brackets/Rigging,42S Swivel bracket white,239.22,393
Z5434.000,d&b audiotechnik,Brackets/Rigging,42S/44S Wallmount,189.91,312
Z5434.001,d&b audiotechnik,Brackets/Rigging,42S/44S Wallmount white,189.91,312
Z5440.000,d&b audiotechnik,Brackets/Rigging,"Wall mount bracket, black    ",295.22,485
Z5440.001,d&b audiotechnik,Brackets/Rigging,"Wall mount bracket, white",295.22,485
Z5440.901,d&b audiotechnik,Brackets/Rigging,"Wall mount bracket, special colour",491.22,807
Z5442.000,d&b audiotechnik,Brackets/Rigging,"Wall mount column, black",643.39,"1,057.00"
Z5442.001,d&b audiotechnik,Brackets/Rigging,"Wall mount column, white",643.39,"1,057.00"
Z5442.901,d&b audiotechnik,Brackets/Rigging,"Wall mount column, special colour",784.61,"1,289.00"
Z5446.000,d&b audiotechnik,Brackets/Rigging,"AOR Mounting adapter column, black",360.35,592
Z5446.001,d&b audiotechnik,Brackets/Rigging,"AOR Mounting adapter column, white",360.35,592
Z5446.901,d&b audiotechnik,Brackets/Rigging,"AOR Mounting adapter column, special colour",533.83,877
Z5450.000,d&b audiotechnik,Brackets/Rigging,"AOR B8/Bi8 subwoofer horizontal bracket, black",393.22,646
Z5450.000,d&b audiotechnik,Brackets/Rigging,"AOR B8/Bi8 subwoofer horizontal bracket, black",393.22,646
Z5450.000,d&b audiotechnik,Brackets/Rigging,"AOR B8/Bi8 subwoofer horizontal bracket, black",393.22,646
Z5450.001,d&b audiotechnik,Brackets/Rigging,"AOR B8/Bi8 subwoofer horizontal bracket, white",393.22,646
Z5450.001,d&b audiotechnik,Brackets/Rigging,"AOR B8/Bi8 subwoofer horizontal bracket, white",393.22,646
Z5450.901,d&b audiotechnik,Brackets/Rigging,"AOR B8/Bi8 subwoofer horizontal bracket, special colour",554.52,911
Z5455.000,d&b audiotechnik,Brackets/Rigging,AL Flying frame,3931.57,"6,459.00"
Z5456.000,d&b audiotechnik,Brackets/Rigging,AL Flying adapter,1718.96,"2,824.00"
Z5458.000,d&b audiotechnik,Brackets/Rigging,AL Base plate,1318.43,"2,166.00"
Z5461.000,d&b audiotechnik,Brackets/Rigging,AL V-SUB adapter frame,2930.26,"4,814.00"
Z5550.000,d&b audiotechnik,Brackets/Rigging,M20 Standadapter,117.48,193
Z5551.000,d&b audiotechnik,Brackets/Rigging,VP Flying adapter link,504,828
Z5552.000,d&b audiotechnik,Brackets/Rigging,Horizontal bracket connector,541.13,889
Z5552.000,d&b audiotechnik,Brackets/Rigging,Horizontal bracket connector,541.13,889
Z5552.000,d&b audiotechnik,Brackets/Rigging,Horizontal bracket connector,541.13,889
Z5553.000,d&b audiotechnik,Brackets/Rigging,"AOR 24S Flying bracket, black",1070.09,"1,758.00"
Z5554.000,d&b audiotechnik,Brackets/Rigging,"24S Horizontal bracket, black",493.65,811
Z5555.000,d&b audiotechnik,Brackets/Rigging,"AOR 21S-SUB Horizontal bracket, black",703.65,"1,156.00"
Z5556.000,d&b audiotechnik,Brackets/Rigging,"AOR 21S-SUB bracket extension, black",284.26,467
Z5557.000,d&b audiotechnik,Brackets/Rigging,"AOR 21S-SUB Flying bracket, black",808.35,"1,328.00"
Z5563.000,d&b audiotechnik,Networking,AOR DS10 Rack upgrade kit,6544.09,"10,751.00"
Z5564.000,d&b audiotechnik,Networking,AOR DS20 Rack upgrade kit,6544.09,"10,751.00"
Z5566.000,d&b audiotechnik,Roadcases -  Carts,AOR Mains/LS Panel NL8/LKA25 CEE,6799.13,"11,170.00"
Z5577.000,d&b audiotechnik,Roadcases -  Carts,"AOR Mains panel 2RU, 32A CEE",5779.57,"9,495.00"
Z5578.000,d&b audiotechnik,Roadcases -  Carts,AOR DX LS panel 2xLKA25/6xNL8,5544.61,"9,109.00"
Z5578.001,d&b audiotechnik,Roadcases -  Carts,AOR DY LS panel 2xLKA25/6xNL8,6431.48,"10,566.00"
Z5600.002,d&b audiotechnik,Amplifier - Mobile,"AOR 3 x D40 Touring rack CA, CEE form power 32A 5P, all rack and panels and data throughput included, 3 x D40 included, DN1 network switch included",82183.04,"135,015.00"
Z5600.003,d&b audiotechnik,Amplifier - Mobile,"AOR 3 x D25/D40 Touring rack C, CEE form power 32A 5P, all rack and panels and data throughput included, Amplifiers NOT included, DN1 network switch NOT included (see below for option)",25556.7,"41,986.00"
Z5601.002,d&b audiotechnik,Amplifier - Mobile,"AOR 6 x D40 Touring rack CA, CEE form power 32A 5P, all rack and panels and data throughput included, 6 x D40 included, DN1 network switch included",146485.65,"240,655.00"
Z5601.003,d&b audiotechnik,Amplifier - Mobile,"AOR 6 x D25/D40 Touring rack C, CEE form power 32A 5P, all rack and panels and data throughput included, Amplifiers NOT included, DN1 network switch NOT included (see below for option)",33242.09,"54,612.00"
Z5602.002,d&b audiotechnik,Amplifier - Mobile,"AOR 3 x D90 Touring rack CA, CEE form power 32A 5P, all rack and panels and data throughput included, 3 x D40 included, DN1 network switch included",118274.43,"194,308.00"
Z5603.002,d&b audiotechnik,Amplifier - Mobile,"AOR 6 x D90 Touring rack CA, CEE form power 32A 5P, all rack and panels and data throughput included, 6 x D40 included, DN1 network switch included",215720.52,"354,398.00"
Z5607.000,d&b audiotechnik,Amplifier - Mobile,AOR DN1 Upgrade kit 3xD25/D40 rack,4124.52,"6,776.00"
Z5608.000,d&b audiotechnik,Amplifier - Mobile,AOR DN1 Upgrade kit 6xD25/D40 rack,4336.35,"7,124.00"
Z5620.002,d&b audiotechnik,Cables - Ethernet,EtherCON cable 2m PoE++ PRI,249.57,410
Z5620.005,d&b audiotechnik,Cables - Ethernet,EtherCON cable 5m PoE++ PRI,296.43,487
Z5620.010,d&b audiotechnik,Cables - Ethernet,EtherCON cable 10m PoE++ PRI,372.52,612
Z5620.020,d&b audiotechnik,Cables - Ethernet,EtherCON cable 20m PoE++ PRI,515.57,847
Z5620.030,d&b audiotechnik,Cables - Ethernet,EtherCON cable 30m PoE++ PRI,659.22,"1,083.00"
Z5621.002,d&b audiotechnik,Cables - Ethernet,EtherCON cable 2m PoE++ SEC,249.57,410
Z5621.005,d&b audiotechnik,Cables - Ethernet,EtherCON cable 5m PoE++ SEC,296.43,487
Z5621.010,d&b audiotechnik,Cables - Ethernet,EtherCON cable 10m PoE++ SEC,372.52,612
Z5621.020,d&b audiotechnik,Cables - Ethernet,EtherCON cable 20m PoE++ SEC,515.57,847
Z5621.030,d&b audiotechnik,Cables - Ethernet,EtherCON cable 30m PoE++ SEC,659.22,"1,083.00"
Z5775.000,d&b audiotechnik,Brackets/Rigging,Safety chain 2t,697.57,"1,146.00"
Z5775.000,d&b audiotechnik,Brackets/Rigging,Safety chain 2t,697.57,"1,146.00"
Z5776.000,d&b audiotechnik,Brackets/Rigging,Hoist connector chain 2t,471.74,775
Z5776.000,d&b audiotechnik,Brackets/Rigging,Hoist connector chain 2t,471.74,775
Z5800.000,d&b audiotechnik,Brackets/Rigging,U3 Swivel bracket,478.43,786
Z5800.001,d&b audiotechnik,Brackets/Rigging,U3 Swivel bracket white,478.43,786
Z5801.000,d&b audiotechnik,Brackets/Rigging,U3 Vertical bracket,375.57,617
Z5801.001,d&b audiotechnik,Brackets/Rigging,U3 Vertical bracket white,375.57,617
Z5802.000,d&b audiotechnik,Brackets/Rigging,U3 Horizontal bracket,312.26,513
Z5802.001,d&b audiotechnik,Brackets/Rigging,U3 Horizontal bracket white,312.26,513
Z5803.000,d&b audiotechnik,Brackets/Rigging,U5 Swivel bracket,665.3,"1,093.00"
Z5803.001,d&b audiotechnik,Brackets/Rigging,U5 Swivel bracket white,665.3,"1,093.00"
Z5804.000,d&b audiotechnik,Brackets/Rigging,U5 Vertical bracket,644.61,"1,059.00"
Z5804.001,d&b audiotechnik,Brackets/Rigging,U5 Vertical bracket white,644.61,"1,059.00"
Z5805.000,d&b audiotechnik,Brackets/Rigging,U5 Horizontal bracket,478.43,786
Z5805.001,d&b audiotechnik,Brackets/Rigging,U5 Horizontal bracket white,478.43,786
Z5806.000,d&b audiotechnik,Brackets/Rigging,U7 Swivel bracket,790.09,"1,298.00"
Z5806.001,d&b audiotechnik,Brackets/Rigging,U7 Swivel bracket white,790.09,"1,298.00"
Z5807.000,d&b audiotechnik,Brackets/Rigging,U7 Vertical bracket,749.3,"1,231.00"
Z5807.001,d&b audiotechnik,Brackets/Rigging,U7 Vertical bracket white,749.3,"1,231.00"
Z5808.000,d&b audiotechnik,Brackets/Rigging,U7 Horizontal bracket,562.43,924
Z5808.001,d&b audiotechnik,Brackets/Rigging,U7 Horizontal bracket white,562.43,924
Z5809.000,d&b audiotechnik,Brackets/Rigging,U-Series Floor stand,375.57,617
Z5809.001,d&b audiotechnik,Brackets/Rigging,U-Series Floor stand white,375.57,617
Z5810.000,d&b audiotechnik,Brackets/Rigging,U-Series Wall mount,437.04,718
Z5810.001,d&b audiotechnik,Brackets/Rigging,U-Series Wall mount white,437.04,718
Z5811.000,d&b audiotechnik,Brackets/Rigging,U-Series Ceiling mount,415.74,683
Z5811.001,d&b audiotechnik,Brackets/Rigging,U-Series Ceiling mount white,415.74,683
Z5815.000,d&b audiotechnik,Brackets/Rigging,Bi10-SUB Horizontal bracket,582.52,957
Z5815.001,d&b audiotechnik,Brackets/Rigging,Bi10-SUB Horizontal bracket white,582.52,957
Z5816.000,d&b audiotechnik,Brackets/Rigging,B10-SUB Base plate,499.13,820
Z5817.000,d&b audiotechnik,Brackets/Rigging,B10-SUB Flying adapter,395.65,650
Z5817.001,d&b audiotechnik,Brackets/Rigging,Bi10-SUB Flying adapter white,395.65,650
Z5820.000,d&b audiotechnik,Brackets/Rigging,CCL Flying frame set,8057.3,"13,237.00"
Z5820.001,d&b audiotechnik,Brackets/Rigging,CCL Flying frame set AS,13068.09,"21,469.00"
Z5821.000,d&b audiotechnik,Brackets/Rigging,CCL Top mounting frame ,2753.13,"4,523.00"
Z5821.001,d&b audiotechnik,Brackets/Rigging,CCL Top mounting frame AS,7762.7,"12,753.00"
Z5822.000,d&b audiotechnik,Brackets/Rigging,CCL SUB mounting frame,3047.13,"5,006.00"
Z5824.000,d&b audiotechnik,Brackets/Rigging,CCL Pullback Frame,3739.83,"6,144.00"
Z5825.000,d&b audiotechnik,Brackets/Rigging,CCL Stack adapter,1205.83,"1,981.00"
Z5826.000,d&b audiotechnik,Brackets/Rigging,CCLi Flying frame,4365.57,"7,172.00"
Z5826.901,d&b audiotechnik,Brackets/Rigging,CCLi Flying frame SC,5144.09,"8,451.00"
Z5827.000,d&b audiotechnik,Brackets/Rigging,CCLi-SUB Flying frame,4461.13,"7,329.00"
Z5827.901,d&b audiotechnik,Brackets/Rigging,CCLi-SUB Flying frame SC,5258.52,"8,639.00"
Z5828.000,d&b audiotechnik,Brackets/Rigging,CCLi Beam extension,1329.39,"2,184.00"
Z5828.901,d&b audiotechnik,Brackets/Rigging,CCLi Beam extension SC,1566.78,"2,574.00"
Z5831.000,d&b audiotechnik,Brackets/Rigging,Safety chain set 1.4t,717.65,"1,179.00"
Z5831.000,d&b audiotechnik,Brackets/Rigging,AOR AL Safety chainset,717.65,"1,179.00"
Z5832.000,d&b audiotechnik,Brackets/Rigging,Hoist Connector Chain 1.4t,528.35,868
Z5832.000,d&b audiotechnik,Brackets/Rigging,AL Hoist connector chain,528.35,868
Z5833.000,d&b audiotechnik,Brackets/Rigging,Bi12-SUB Horizontal bracket,484.52,796
Z5833.901,d&b audiotechnik,Brackets/Rigging,Bi12-SUB Horizontal bracket SC,646.43,"1,062.00"
Z6126.000,d&b audiotechnik,Networking,"AOR R90 touchscreen remote control. 7"" panel PC. Intuitive user interface for control of general functions of a d&b system, simple setup for system integrators, no additional code required. Manage daily operation of a d&b system without a technician.",10244.96,"16,831.00"
DOAIO0002,Direct Out,Networking,"AN8.I AKM - 8ch analog input module, analog line level",679.13,781
DOAIO0004,Direct Out,Networking,MIC8.HD.I AKM - 8ch HD mic pre input module,2084.35,"2,397.00"
DOAIO0005,Direct Out,Networking,MIC8.LINE.I AKM - 8ch standard mic pre input module,1260.87,"1,450.00"
DOAIO0006,Direct Out,Networking,AES4.IO - 4-port AES/EBU module ,727.83,837
DOAIO0007,Direct Out,Networking,AES4.SRC.IO - 4-port AES/EBU module with SRC,1358.26,"1,562.00"
DOCTRL001,Direct Out,Networking,HCONTROL.8 - 8 fader audio controller for PRODIGY.MP with globcon integration,11436.52,"13,152.00"
DOCTRL002,Direct Out,Networking,HCONTROL.16 - 16 fader audio controller for PRODIGY.MP with globcon integration,19190.43,"22,069.00"
DOMIO0005,Direct Out,Networking,BNC.IO - 1 port coaxial MADI I/O module BNC,486.09,559
DOMIO0006,Direct Out,Networking,SC.IO MM - 1 port optical MADI I/O module SC multi mode,486.09,559
DOMIO0007,Direct Out,Networking,"SFP.IO - 1 port SFP MADI I/O module, empty cage",388.7,447
DOMIO0008,Direct Out,Networking,SC.IO SM - 1 port optical MADI I/O module SC single mode,679.13,781
DOMIO0021,Direct Out,Networking,"MADI2.SRC.IO - 2 ports SFP MADI I/O module, empty cage with HD SRC",2326.96,"2,676.00"
DOMIO0023,Direct Out,Networking,"MADI2.BNC.SRC.IO - 2 ports coaxial MADI I/O module, BNC with HD SRC",2326.96,"2,676.00"
DOMIO0041,Direct Out,Networking,"MADI4.IO (PRODIGY.MX only) - 4 ports SFP MADI I/O module, empty cage (no HD SRC)",2326.96,"2,676.00"
DOMIO0042,Direct Out,Networking,"MADI4.SRC.IO (PRODIGY.MX only) - 4 ports SFP MADI I/O module, empty cage with HD SRC",3780.87,"4,348.00"
DOMVA0001/DOMVAACT01,Direct Out,Networking,MAVEN.A Essential. MAVEN is a smart audio platform with modular I/O's and signal processing. Call for prices and info on licences and other software and hardware modules.,5620.87,"6,464.00"
DOMVA0001/DOMVAACT02,Direct Out,Networking,MAVEN.A Unlimited. MAVEN is a smart audio platform with modular I/O's and signal processing. Call for prices and info on licences and other software and hardware modules.,18900,"21,735.00"
DONETA001,Direct Out,Networking,MILAN.IO - 128ch AVB/MILAN module,2811.3,"3,233.00"
DONETA002,Direct Out,Networking,MILAN.SRC.IO - 128ch AVB/MILAN module with HD SRC,4264.35,"4,904.00"
DONETD021,Direct Out,Networking,"DANTE.IO MKII - 64ch Dante AoIP module, based on Dante Brooklyn III hardware platform",2811.3,"3,233.00"
DONETD022,Direct Out,Networking,"DANTE.SRC.IO MKII - 64ch Dante AoIP module with HD SRC, based on Dante Brooklyn III hardware platform",4264.35,"4,904.00"
DONETR001,Direct Out,Networking,RAV.IO - 128ch RAVENNA/ST2110 AoIP module ,2811.3,"3,233.00"
DONETR002,Direct Out,Networking,RAV.SRC.IO - 128ch RAVENNA/ST2110 AoIP module with HD SRC,4264.35,"4,904.00"
DONETS021,Direct Out,Networking,SG.IO MKII - 128ch SoundGrid network module,2811.3,"3,233.00"
DONETS022,Direct Out,Networking,SG.SRC.IO MKII - 128ch SoundGrid network module with HD SRC,4264.35,"4,904.00"
DOOPR0038,Direct Out,Networking,Handling fee - Service fee for equipping of modules and software update for PRODIGY,105.22,121
DOPRDG003,Direct Out,Networking,"PRODIGY MC Essential - Mainframe Modular Audio Converter including System License, 'Essential'",8334.78,"9,585.00"
DOPRDG005,Direct Out,Networking,"PRODIGY MC Unlimited - Mainframe Modular Audio Converter including System License, 'Unlimited'",12018.26,"13,821.00"
DOPRDG006,Direct Out,Networking,"PRODIGY MP Essential - Mainframe Multifunction Audio Processor including System License, 'Essential'",9110.43,"10,477.00"
DOPRDG008,Direct Out,Networking,"PRODIGY MP Unlimited - Mainframe Multifunction Audio Processor including System License, 'Unlimited'",21806.09,"25,077.00"
DOPRDG010,Direct Out,Networking,"PRODIGY MX Essential - Mainframe Multiformat Audio Matrix including System License, 'Essential'",9692.17,"11,146.00"
DOPRDG012,Direct Out,Networking,"PRODIGY MX Unlimited - Mainframe Multiformat Audio Matrix including System License, 'Unlimited'",26846.09,"30,873.00"
AM11-T4,Fitness Audio,Microphones - Headworn / Lapel,"The ""Aeromic"" aerobics head worn microphone, suitable for classes all day every day! TA4F wired for Parallel Audio Wireless and Helix PA Systems",384.7,632
E-micT4,Fitness Audio,Microphones - Headworn / Lapel,"Aeromic cost effective fitness head worn microphone, suitable for up to 21 classes per week. TA4F wired for Parallel Audio Wireless and Helix PA Systems",231.3,380
BA2240-1,inDESIGN,Amplifier - Install,"2 Channel @ 240 watt per channel basic power amplfier, 100V, 2RU",828.43,"1,361.00"
BA4120-1,inDESIGN,Amplifier - Install,"4 Channel @ 120 watt per channel basic power amplfier, 100V, 2RU",886.26,"1,456.00"
BM4,inDESIGN,Mixer - Strip Mixer,"4 channel strip mixer/pre-amplifier, 4 x mic/line inputs on phoenix, RCA & XLR style connectors, channel 1 with switchable +48VDC phantom power and vox mute, built in chime/alert and evac tones to AUS standards, individual channel bass & treble controls and master volume. 240VAC / 24VDC backup, 1RU",294,483
BM8-1,inDESIGN,Mixer - Strip Mixer,"8 channel strip mixer/pre-amplifier, 8 x mic/line inputs on phoenix & RCA style connectors (now also includes phoenix to XLR adapters within the packaging for every input), channel 1 with switchable +48VDC phantom power and vox mute, built in chime/alert and evac tones to AUS standards, individual channel bass & treble controls and master volume, 1RU",502.78,826
BMA120-1,inDESIGN,Mixer Amplifier,"120 watt Basic Mixer Amplifier with 4 mic/line inputs and vox priority with 48V phantom power on mic 1, 2RU",387.74,637
BMA240-1,inDESIGN,Mixer Amplifier,"240 watt Basic Mixer Amplifier with 4 mic/line inputs and vox priority with 48V phantom power on mic 1, 2RU",558.17,917
